Email_ID,Email_Text,Sender,Subject,Message_Length,Number_of_Links,Number_of_Special_Characters,Number_of_Capital_Letters,Label
EML00391,"Your package could not be delivered a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Visit http://free-money-fast.biz/claim to proceed immediately. Time is running out, claim your reward TODAY.",prizeteam@lottery-winners.win,Your Refund Is Waiting,262,1,1,9,Spam
EML00392,"Hi Team, I would like to schedule a call to discuss the recent changes in the project scope. Please let me know your availability this week. Looking forward to your reply, Priya Sharma",rahul.verma@university.edu,Syllabus for Upcoming Semester,184,0,0,7,Ham
EML00393,"Dear Sir/Madam, We have a special offer just for our newsletter subscribers this month. Regards, Arjun Menon",team@workplace.net,Your Order Has Been Shipped,108,0,0,7,Ham
EML00394,Limited Time Offer just for YOU verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Follow this link http://secure-bank-verify.info/login to verify. Hurry! Only a,hr@work-from-home-jobs.top,Exclusive Investment Opportunity,229,1,1,10,Spam
EML00395,"URGENT: Your account requires immediate action an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Follow this link http://secure-bank-verify.info/login to verify. 100% guaranteed, no risk involved!",winner@international-lottery.org,Your Refund Is Waiting,259,1,3,9,Spam
EML00396,"Good morning, As a valued customer, enjoy 20% off your next purchase with code SAVE20. Warm regards, Arjun Menon",hr@techsolutions.com,Meeting Follow-up,112,0,1,9,Ham
EML00397,"CONGRATULATIONS! You have been selected an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Download now: http://get-rich-quick.top/offer",prizeteam@lottery-winners.win,FREE iPhone 15 Pro - Claim Now,201,1,3,18,Spam
EML00398,"Exclusive deal available for 24 hours only an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Visit http://free-money-fast.biz/claim to proceed immediately.",prizeteam@lottery-winners.win,FINAL NOTICE: Account Suspension,221,1,2,3,Spam
EML00399,"Dear Sir/Madam, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Best regards, Rahul Verma",admin@office-portal.com,Quarterly Report Attached,155,0,0,8,Ham
EML00400,"Hey, I hope this email finds you well. I wanted to follow up on  the meeting we had last week regarding the project timeline. Sincerely, Priya Sharma",rahul.verma@university.edu,Invoice for Last Month,149,0,0,6,Ham
EML00401,"Winner Notification: You have WON a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!!",support@bank-security-alert.info,"You Have WON $1,000,000!!!",224,1,4,8,Spam
EML00402,"Dear Customer, Please review the attached minutes of the meeting and let me know if any corrections are needed before we circulate them. Regards, Rahul Verma",priya.sharma@company.com,Invoice for Last Month,157,0,0,6,Ham
EML00403,Exclusive deal available for 24 hours only a brand new iPhone 15 Pro absolutely free of cost. Click the link below to claim your prize before it expires! Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! This offer will not be repeated. Act NOW!!!,hr@work-from-home-jobs.top,Work From Home - Earn $5000/Week,270,1,7,10,Spam
EML00404,"Hi Professor, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Kind regards, Meera Pillai",admin@office-portal.com,Your Order Has Been Shipped,154,0,0,7,Ham
EML00405,"Hi Professor, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Sincerely, Karthik Raj",noreply@shipping-service.com,Your Order Has Been Shipped,159,0,0,7,Ham
EML00406,Your package could not be delivered a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Click here now: http://claim-your-prize-now.win/reward,admin@account-verification.site,"You Have WON $1,000,000!!!",194,1,0,6,Spam
EML00407,Limited Time Offer just for YOU a chance to win a brand new car by simply clicking the link and filling out a short form with your details. Follow this link http://secure-bank-verify.info/login to verify.,admin@account-verification.site,Exclusive Investment Opportunity,204,1,0,7,Spam
EML00408,"Winner Notification: You have WON a chance to win a brand new car by simply clicking the link and filling out a short form with your details. Confirm here: http://account-alert-update.site/confirm 100% guaranteed, no risk involved!",winner@international-lottery.org,Exclusive Investment Opportunity,231,1,2,7,Spam
EML00409,"Limited Time Offer just for YOU a business proposal that may interest you, kindly review  the attached document and share your thoughts.",admin@account-verification.site,FREE iPhone 15 Pro - Claim Now,136,0,0,6,Spam
EML00410,"Hey, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Thanks and regards, Priya Sharma",accounts@finance-services.com,Minutes of the Meeting,160,0,0,6,Ham
EML00411,"Claim your FREE reward now cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Visit http://free-money-fast.biz/claim to proceed immediately. 100% guaranteed, no risk involved!",support@bank-security-alert.info,FREE iPhone 15 Pro - Claim Now,229,1,2,6,Spam
EML00412,"Dear Manager, I hope this email finds you well. I wanted to follow up on the meeting we had last week regarding the project timeline. Thank you,",noreply@shipping-service.com,Minutes of the Meeting,144,0,0,5,Ham
EML00413,"Hi Professor, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Sincerely, Divya Krishnan",priya.sharma@company.com,Syllabus for Upcoming Semester,153,0,0,7,Ham
EML00414,"URGENT: Your account requires immediate action a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Click here now: http://claim-your-prize-now.win/reward Don't miss this once in a lifetime opportunity!",offers@luxury-deals-cheap.shop,"You Have WON $1,000,000!!!",267,1,2,10,Spam
EML00415,"Exclusive deal available for 24 hours only we noticed unusual activity on your account and recommend confirming your details as a precaution. Download now: http://get-rich-quick.top/offer 100% guaranteed, no risk involved!",support@bank-security-alert.info,Congratulations Lucky Winner,222,1,2,2,Spam
EML00416,"Hi Team, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Thank you, Suresh Kumar",professor.rao@college.edu,Meeting Follow-up,155,0,0,7,Ham
EML00417,"CONGRATULATIONS! You have been selected a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Follow this link http://secure-bank-verify.info/login to verify. Don't miss this once in a lifetime opportunity!",no-reply@free-money-fast.biz,Congratulations Lucky Winner,252,1,3,19,Spam
EML00418,"Dear Sir/Madam, Thank you for your prompt response. I have updated  the document as per your suggestions and shared it in the drive folder. Looking forward to your reply, Rahul Verma",noreply@shipping-service.com,Appointment Confirmation,182,0,0,8,Ham
EML00419,"Hi Professor, I would like to schedule a call to discuss the recent changes in the project scope. Please let me know your availability this week. Kind regards, Karthik Raj",professor.rao@college.edu,Syllabus for Upcoming Semester,171,0,0,7,Ham
EML00420,"Hi John, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Best regards, Suresh Kumar",manager@projectteam.org,Invoice for Last Month,149,0,0,7,Ham
EML00421,"Hi Professor, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Warm regards, Priya Sharma",rahul.verma@university.edu,Meeting Follow-up,157,0,0,11,Ham
EML00422,"Hi Team, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Sincerely, Meera Pillai",hr@techsolutions.com,Syllabus for Upcoming Semester,146,0,0,7,Ham
EML00423,"CONGRATULATIONS! You have been selected a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Click here now: http://claim-your-prize-now.win/reward",winner@international-lottery.org,Congratulations Lucky Winner,212,1,2,18,Spam
EML00424,"Act now before it's too late cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Visit http://free-money-fast.biz/claim to proceed immediately. Time is running out, claim your reward TODAY.",no-reply@free-money-fast.biz,"You Have WON $1,000,000!!!",242,1,0,8,Spam
EML00425,"Winner Notification: You have WON a business proposal that may interest you, kindly review the attached document and share your thoughts.  This offer will not be repeated. Act NOW!!!",prizeteam@lottery-winners.win,Work From Home - Earn $5000/Week,182,0,3,11,Spam
EML00426,"Dear Sir/Madam, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Warm regards,",admin@office-portal.com,Quarterly Report Attached,143,0,0,6,Ham
EML00427,"CONGRATULATIONS! You have been selected a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Call our toll-free hotline NOW or click http://winner-notification.club/claim",no-reply@free-money-fast.biz,Claim Your FREE Reward Today,217,1,2,21,Spam
EML00428,"URGENT: Your account requires immediate action a special discount of 90% off on luxury watches. Hurry, offer valid only for the next few hours! Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",no-reply@free-money-fast.biz,URGENT: Verify Your Account Now,235,1,2,15,Spam
EML00429,"Dear Customer, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Kind regards, Priya Sharma",accounts@finance-services.com,Invoice for Last Month,169,0,0,7,Ham
EML00430,"Claim your FREE reward now an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Reply immediately to http://job-offer-cash.click/apply with your bank details. Time is running out, claim your reward TODAY.",admin@account-verification.site,Claim Your FREE Reward Today,264,1,1,13,Spam
EML00431,"FINAL NOTICE regarding your payment verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Download now: http://get-rich-quick.top/offer 100% guaranteed, no risk involved!",support@bank-security-alert.info,Work From Home - Earn $5000/Week,235,1,2,13,Spam
EML00432,"Dear Manager, Don't miss our end of season sale, discounts available this week only. Thank you, Arjun Menon",admin@office-portal.com,Quarterly Report Attached,107,0,0,6,Ham
EML00433,"Limited Time Offer just for YOU an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Download now: http://get-rich-quick.top/offer Hurry! Only a few slots remaining!!!",winner@international-lottery.org,FREE iPhone 15 Pro - Claim Now,227,1,5,10,Spam
EML00434,"Hi Team, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Sincerely, Divya Krishnan",professor.rao@college.edu,Minutes of the Meeting,153,0,0,7,Ham
EML00435,You are our lucky visitor today a brand new iPhone 15 Pro absolutely free of cost. Click  the link below to claim your prize before it expires! Confirm here: http://account-alert-update.site/confirm,prizeteam@lottery-winners.win,Exclusive Investment Opportunity,198,1,1,5,Spam
EML00436,"Hello Everyone, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Thank you, Ananya Iyer",priya.sharma@company.com,Appointment Confirmation,157,0,0,7,Ham
EML00437,"Your package could not be delivered access to premium software completely free. Download the attached file now to activate your license. Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",no-reply@free-money-fast.biz,FREE iPhone 15 Pro - Claim Now,228,1,0,9,Spam
EML00438,"Hi John, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Regards, Rahul Verma",admin@office-portal.com,Minutes of the Meeting,158,0,0,9,Ham
EML00439,"Limited Time Offer just for YOU an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Confirm here: http://account-alert-update.site/confirm",winner@international-lottery.org,FREE iPhone 15 Pro - Claim Now,202,1,2,8,Spam
EML00440,"Dear Manager, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Sincerely, Divya Krishnan",admin@office-portal.com,Appointment Confirmation,153,0,0,7,Ham
EML00441,"Good morning, Your subscription renewal is due soon, click here to manage your account. Warm regards,",rahul.verma@university.edu,Project Timeline Update,101,0,0,3,Ham
EML00442,"Claim your FREE reward now access to premium software completely free. Download the attached file now to activate your license. Confirm here: http://account-alert-update.site/confirm Time is running out, claim your reward TODAY.",deals@discount-mega-sale.club,Your Refund Is Waiting,228,1,0,13,Spam
EML00443,"Hello, We have a special offer just for our newsletter subscribers this month. Sincerely, Divya Krishnan",manager@projectteam.org,Appointment Confirmation,104,0,0,5,Ham
EML00444,"Exclusive deal available for 24 hours only our records show your subscription is about to expire, please update your payment information soon.",winner@international-lottery.org,FREE iPhone 15 Pro - Claim Now,142,0,0,1,Spam
EML00445,"Act now before it's too late an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Click here now: http://claim-your-prize-now.win/reward 100% guaranteed, no risk involved!",deals@discount-mega-sale.club,FREE iPhone 15 Pro - Claim Now,234,1,4,3,Spam
EML00446,URGENT: Your account requires immediate action access to premium software completely free. Download the attached file now to activate your license. Call our toll-free hotline NOW or click http://winner-notification.club/claim,admin@account-verification.site,URGENT: Verify Your Account Now,225,1,0,12,Spam
EML00447,"CONGRATULATIONS! You have been selected your recent order requires additional verification before it can be processed further. Confirm here: http://account-alert-update.site/confirm 100% guaranteed, no risk involved!",support@bank-security-alert.info,Work From Home - Earn $5000/Week,216,1,3,17,Spam
EML00448,"Hello, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Thanks and regards, Divya Krishnan",priya.sharma@company.com,Weekly Team Meeting Reminder,155,0,0,6,Ham
EML00449,"Your package could not be delivered a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",hr@work-from-home-jobs.top,Your Refund Is Waiting,245,1,1,9,Spam
EML00450,"URGENT: Your account requires immediate action cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Reply immediately to http://job-offer-cash.click/apply with your bank details.",admin@account-verification.site,Limited Time Offer - 90% OFF,230,1,0,8,Spam
EML00451,"Hey, I hope this email finds you well. I wanted to follow up on the meeting we had last week regarding the project timeline. Sincerely, Meera Pillai",priya.sharma@company.com,Meeting Follow-up,148,0,0,6,Ham
EML00452,"Hi John, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Thanks and regards, Meera Pillai",priya.sharma@company.com,Scheduled System Maintenance,169,0,0,7,Ham
EML00453,"Hello, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Warm regards, Ananya Iyer",support@onlinestore.com,Quarterly Report Attached,161,0,0,8,Ham
EML00454,"Your package could not be delivered a refund of your recent purchase. Please confirm your credit card number and CVV to process  the refund. Call our toll-free hotline NOW or click http://winner-notification.club/claim Time is running out, claim your reward TODAY.",hr@work-from-home-jobs.top,Congratulations Lucky Winner,264,1,0,15,Spam
EML00455,"Hi Professor, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Best regards, Sneha Nair",admin@office-portal.com,Appointment Confirmation,160,0,0,7,Ham
EML00456,"Exclusive deal available for 24 hours only a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Visit http://free-money-fast.biz/claim to proceed immediately. 100% guaranteed, no risk involved!",no-reply@free-money-fast.biz,FREE iPhone 15 Pro - Claim Now,240,1,3,3,Spam
EML00457,"Your package could not be delivered our records show your subscription is about to expire, please update your payment information soon. Follow this link http://secure-bank-verify.info/login to verify. Hurry! Only a few slots",deals@discount-mega-sale.club,FREE iPhone 15 Pro - Claim Now,224,1,1,4,Spam
EML00458,"Dear Manager, As a valued customer, enjoy 20% off your next purchase with code SAVE20. Best regards, Divya Krishnan",professor.rao@college.edu,Quarterly Report Attached,115,0,1,10,Ham
EML00459,"Hi Professor, I would like to schedule a call to discuss the recent changes in the project scope. Please let me know your availability this week. Sincerely, Sneha Nair",admin@office-portal.com,Invoice for Last Month,167,0,0,7,Ham
EML00460,"Claim your FREE reward now an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Hurry! Only a few slots remaining!!!",winner@international-lottery.org,Congratulations Lucky Winner,249,1,8,9,Spam
EML00461,"URGENT: Your account requires immediate action a job offer paying $5000 per week working from home, no experience needed. Reply with your personal details to start. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!!",admin@account-verification.site,"You Have WON $1,000,000!!!",237,1,4,9,Spam
EML00462,"FINAL NOTICE regarding your payment an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Click here now: http://claim-your-prize-now.win/reward",offers@luxury-deals-cheap.shop,FREE iPhone 15 Pro - Claim Now,203,1,1,13,Spam
EML00463,"Claim your FREE reward now a cash prize of $1,000,000 in our international lottery. Send your bank details to process the transfer immediately. Follow this link http://secure-bank-verify.info/login to verify. Hurry! Only a few",offers@luxury-deals-cheap.shop,Exclusive Investment Opportunity,226,1,2,9,Spam
EML00464,"Hi Team, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Looking forward to your reply, Divya Krishnan",support@onlinestore.com,Your Order Has Been Shipped,182,0,0,10,Ham
EML00465,"Dear Manager, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Best regards, Arjun Menon",manager@projectteam.org,Project Timeline Update,161,0,0,7,Ham
EML00466,"Dear Manager, The system maintenance is scheduled for this weekend. Services may be temporarily unavailable between 1 AM and 4 AM. Thanks and regards, Arjun Menon",accounts@finance-services.com,Meeting Follow-up,162,0,0,11,Ham
EML00467,"Dear Sir/Madam, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Warm regards, Suresh Kumar",accounts@finance-services.com,Weekly Team Meeting Reminder,170,0,0,11,Ham
EML00468,"Hey, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Thanks and regards, Divya Krishnan",rahul.verma@university.edu,Weekly Team Meeting Reminder,158,0,0,6,Ham
EML00469,"Hello Everyone, Your order has been shipped and is expected to arrive within 3-5 business days. Track your shipment using the order ID provided. Looking forward to your reply, Karthik",noreply@shipping-service.com,Quarterly Report Attached,183,0,0,8,Ham
EML00470,"Good morning, I am writing to confirm our appointment scheduled for next Monday at 3 PM. Please let me know if this time still works for you. Warm regards, Vikram Singh",hr@techsolutions.com,Project Timeline Update,168,0,0,9,Ham
EML00471,"Dear Customer, Just a quick note to say thank you for your help with the project. Your input was extremely valuable to the team. Sincerely, Divya Krishnan",admin@office-portal.com,Meeting Follow-up,154,0,0,7,Ham
EML00472,"Hello, We have a special offer just for our newsletter subscribers this month. Regards, Arjun Menon",rahul.verma@university.edu,Syllabus for Upcoming Semester,99,0,0,5,Ham
EML00473,"Exclusive deal available for 24 hours only an exclusive investment opportunity with guaranteed 500% returns in just 7 days. Limited slots available, act fast! Visit http://free-money-fast.biz/claim to proceed immediately. Hurry! Only a few slots remaining!!!",winner@international-lottery.org,Claim Your FREE Reward Today,258,1,6,5,Spam
EML00474,"Dear Customer, Limited seats left for our upcoming webinar, register using the link below. Best regards, Ananya Iyer",priya.sharma@company.com,Invoice for Last Month,116,0,0,6,Ham
EML00475,"Hi John, Attached is  the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Thank you, Divya Krishnan",accounts@finance-services.com,Appointment Confirmation,154,0,0,7,Ham
EML00476,"Hello, Your subscription renewal is due soon, click here to manage your account. Kind regards, Rahul Verma",accounts@finance-services.com,Appointment Confirmation,106,0,0,5,Ham
EML00477,"Hi Professor, I would like to schedule a call to discuss the recent changes in the project scope. Please let me know your availability this week. Sincerely, Karthik Raj",team@workplace.net,Quarterly Report Attached,168,0,0,7,Ham
EML00478,URGENT: Your account requires immediate action access to premium software completely free. Download the attached file now to activate your license. Reply immediately to http://job-offer-cash.click/apply with your bank details. This offer will not be repeated. Act NOW!!!,offers@luxury-deals-cheap.shop,Claim Your FREE Reward Today,270,1,3,14,Spam
EML00479,"Winner Notification: You have WON a special discount of 90% off on luxury watches. Hurry, offer valid only for the next few hours! Download now: http://get-rich-quick.top/offer Time is running out, claim your reward TODAY.",support@bank-security-alert.info,"You Have WON $1,000,000!!!",222,1,2,14,Spam
EML00480,"Act now before it's too late an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Click here now: http://claim-your-prize-now.win/reward",no-reply@free-money-fast.biz,Exclusive Investment Opportunity,196,1,1,3,Spam
EML00481,"Hi John, Thank you for your prompt response. I have updated  the document as per your suggestions and shared it in the drive folder. Sincerely, Karthik Raj",noreply@shipping-service.com,Invoice for Last Month,155,0,0,7,Ham
EML00482,"Hi Team, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Looking forward to your reply, Vikram Singh",admin@office-portal.com,Your Order Has Been Shipped,171,0,0,7,Ham
EML00483,"Exclusive deal available for 24 hours only cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Click here now: http://claim-your-prize-now.win/reward Time is running out, claim your reward TODAY.",winner@international-lottery.org,Exclusive Investment Opportunity,248,1,0,8,Spam
EML00484,"Dear Sir/Madam, Please review the attached minutes of the meeting and let me know if any corrections are needed before we circulate them. Sincerely, Priya Sharma",team@workplace.net,Syllabus for Upcoming Semester,161,0,0,7,Ham
EML00485,"Hey, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Best regards, Vikram Singh",accounts@finance-services.com,Syllabus for Upcoming Semester,153,0,0,6,Ham
EML00486,"Dear Manager, As a valued customer, enjoy 20% off your next purchase with code SAVE20. Thank you, Vikram",team@workplace.net,Quarterly Report Attached,104,0,1,9,Ham
EML00487,"Limited Time Offer just for YOU an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Confirm here: http://account-alert-update.site/confirm 100% guaranteed, no risk involved!",support@bank-security-alert.info,FREE iPhone 15 Pro - Claim Now,234,1,3,8,Spam
EML00488,"Dear Customer, Could you please share the updated syllabus for the upcoming semester? I would like to prepare my study plan accordingly. Sincerely, Ananya Iyer",team@workplace.net,Your Order Has Been Shipped,159,0,0,7,Ham
EML00489,"You are our lucky visitor today a chance to win a brand new car by simply clicking  the link and filling out a short form with your details. Follow this link http://secure-bank-verify.info/login to verify. Time is running out, claim your reward TODAY.",offers@luxury-deals-cheap.shop,Work From Home - Earn $5000/Week,251,1,0,8,Spam
EML00490,"Act now before it's too late your recent order requires additional verification before it can be processed further. Confirm here: http://account-alert-update.site/confirm 100% guaranteed, no risk involved!",no-reply@free-money-fast.biz,URGENT: Verify Your Account Now,205,1,2,2,Spam
EML00491,Exclusive deal available for 24 hours only your recent order requires additional verification before it can be processed further. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Don't miss this once in a lifetime opportunity!,winner@international-lottery.org,Work From Home - Earn $5000/Week,250,1,4,3,Spam
EML00492,"Winner Notification: You have WON a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Click here now: http://claim-your-prize-now.win/reward",offers@luxury-deals-cheap.shop,FINAL NOTICE: Account Suspension,188,1,1,8,Spam
EML00493,Winner Notification: You have WON we noticed unusual activity on your account and recommend confirming your details as a precaution. Click here now: http://claim-your-prize-now.win/reward This offer will not be repeated. Act NOW!!!,support@bank-security-alert.info,Your Refund Is Waiting,231,1,3,12,Spam
EML00494,"Hi Professor, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Kind regards, Meera Pillai",priya.sharma@company.com,Meeting Follow-up,168,0,0,7,Ham
EML00495,"CONGRATULATIONS! You have been selected an inheritance claim from a distant relative worth $2,500,000. Contact our lawyer immediately with your details. Follow this link http://secure-bank-verify.info/login to verify. Time is running out, claim your reward TODAY.",winner@international-lottery.org,Limited Time Offer - 90% OFF,263,1,2,24,Spam
EML00496,"Hi Professor, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Regards, Rahul Verma",admin@office-portal.com,Scheduled System Maintenance,162,0,0,7,Ham
EML00497,"Claim your FREE reward now a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Confirm here: http://account-alert-update.site/confirm 100% guaranteed, no risk",admin@account-verification.site,Claim Your FREE Reward Today,210,1,1,10,Spam
EML00498,Winner Notification: You have WON a refund of your recent purchase. Please confirm your credit card number and CVV to process the refund. Visit http://free-money-fast.biz/claim to proceed immediately. This offer will not be repeated. Act NOW!!!,hr@work-from-home-jobs.top,FINAL NOTICE: Account Suspension,244,1,3,16,Spam
EML00499,"Winner Notification: You have WON a special discount of 90% off on luxury watches. Hurry, offer valid only for the next few hours! Confirm here: http://account-alert-update.site/confirm 100% guaranteed, no risk involved!",support@bank-security-alert.info,Claim Your FREE Reward Today,220,1,4,8,Spam
EML00500,"Dear Sir/Madam, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Warm regards, Arjun Menon",accounts@finance-services.com,Syllabus for Upcoming Semester,160,0,0,8,Ham
EML00501,"Hello Everyone, Attached is the invoice for the services rendered last month. Kindly process the payment at your earliest convenience. Thank you, Vikram Singh",support@onlinestore.com,Meeting Follow-up,158,0,0,7,Ham
EML00502,"Hello Everyone, Limited seats left for our upcoming webinar, register using  the link below. Thanks and regards, Priya Sharma",support@onlinestore.com,Invoice for Last Month,125,0,0,6,Ham
EML00503,Your package could not be delivered verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Call our toll-free hotline NOW or click http://winner-notification.club/claim This offer will not be repeated. Act NOW!!!,support@bank-security-alert.info,Your Refund Is Waiting,276,1,3,11,Spam
EML00504,"Hello, Please find attached the quarterly report for your review. Let me know if you have any questions or need further clarification. Warm regards, Vikram Singh",manager@projectteam.org,Appointment Confirmation,161,0,0,6,Ham
EML00505,Your package could not be delivered a chance to win a brand new car by simply clicking the link and filling out a short form with your details. Call our toll-free hotline NOW or click http://winner-notification.club/claim,winner@international-lottery.org,Limited Time Offer - 90% OFF,221,1,0,5,Spam
EML00506,"Winner Notification: You have WON cheap replica designer handbags shipped worldwide, buy 1 get 3 free, limited stock available today only. Call our toll-free hotline NOW or click http://winner-notification.club/claim Don't miss this once in a lifetime opportunity!",winner@international-lottery.org,FREE iPhone 15 Pro - Claim Now,264,1,1,11,Spam
EML00507,Claim your FREE reward now your recent order requires additional verification before it can be processed further. Order now at http://luxury-deals-cheap.shop/buy before stock runs out!!! Don't miss this once in a lifetime opportunity!,deals@discount-mega-sale.club,Work From Home - Earn $5000/Week,234,1,4,7,Spam
EML00508,CONGRATULATIONS! You have been selected access to premium software completely free. Download the attached file now to activate your license. Call our toll-free hotline NOW or click http://winner-notification.club/claim This offer will not be repeated. Act NOW!!!,support@bank-security-alert.info,Your Refund Is Waiting,262,1,4,26,Spam
EML00509,CONGRATULATIONS! You have been selected verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Confirm here: http://account-alert-update.site/confirm This offer will not be repeated. Act NOW!!!,offers@luxury-deals-cheap.shop,URGENT: Verify Your Account Now,257,1,4,23,Spam
EML00510,Your package could not be delivered access to premium software completely free. Download the attached file now to activate your license. Reply immediately to http://job-offer-cash.click/apply with your bank details.,deals@discount-mega-sale.club,Your Refund Is Waiting,215,1,0,3,Spam
EML00511,"Hello Everyone, Limited seats left for our upcoming webinar, register using the link below. Thanks and regards, Meera Pillai",team@workplace.net,Meeting Follow-up,124,0,0,6,Ham
EML00512,"Hey, Thank you for your prompt response. I have updated the document as per your suggestions and shared it in the drive folder. Sincerely, Karthik Raj",priya.sharma@company.com,Scheduled System Maintenance,150,0,0,6,Ham
EML00513,"URGENT: Your account requires immediate action our records show your subscription is about to expire, please update your payment information soon. Follow this link http://secure-bank-verify.info/login to verify. Time is running out, claim your reward TODAY.",admin@account-verification.site,URGENT: Verify Your Account Now,257,1,0,14,Spam
EML00514,"URGENT: Your account requires immediate action we noticed unusual activity on your account and recommend confirming your details as a precaution.  100% guaranteed, no risk involved!",support@bank-security-alert.info,Exclusive Investment Opportunity,181,0,2,7,Spam
EML00515,URGENT: Your account requires immediate action verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Click here now: http://claim-your-prize-now.win/reward,winner@international-lottery.org,Your Refund Is Waiting,220,1,0,9,Spam
EML00516,FINAL NOTICE regarding your payment verification that your bank account has been suspended. Click here to verify your details and avoid permanent closure. Confirm here: http://account-alert-update.site/confirm,prizeteam@lottery-winners.win,Limited Time Offer - 90% OFF,209,1,0,13,Spam
EML00517,"Claim your FREE reward now a free trial of our miracle weight loss pills. Lose 10kg in one week, no diet or exercise required! Follow this link http://secure-bank-verify.info/login to verify. This offer will not be repeated. Act NOW!!!",winner@international-lottery.org,FINAL NOTICE: Account Suspension,235,1,4,12,Spam
